,h,hw,ps,df,il,gc,crm,sc,sf,af,id,lw,sd,sb
,a,aur-aur,n,k.o. *plant; the *day-flower; [%*Commelina~diffusa|],,,,,plant,,,,,
,a,australi,n,*Australia; Australian,,,,,,,,,,
,a,aya-aya,n,k.o. sifting *basket,,,pamusukang,a TM term used by younger speakers,utensil,,,M,,
,a,ayat,n,a *verse of the Quran,,,,,spiritual,,,,,
,a,ayogo,n,k.o. *tree; [%*Premna~obtusifolia|],,,,,tree,,,,,
,a,ayung,v,to *rock (a cradle; etc.),,,,,,ayung akang,,,,
,a,ayung,v,to *rock s.t. at another's request,,,,,,ayungi akang,,,,
,a,ayung,v,to repeatedly *rock s.t. for s.o.,,,,,,naayung,,,,
,a,ayung,vi,*sleepy; about to *doze off with o.'s head bobbing,,,,,,,,,,
,a,ayung,n,a large sago *swamp; upriver from Amasing,,,,,place name,,,,,
,a,awa-awat,n,k.o. *mollusc; *giant~*clam [%*Tridacna~|sp.],,,,,mollusc,,,,,
,a,awakang,n,k.o. large *fish,,,,,fish,,,,,
,a,awalang,vi,*shy; *embarrassed,,,,,,pa:walangi,,,,
,a,awalang,v,to shame or *embarass s.o.,,,,,,papa:walangi,,,,
,a,awalang,v,to *shame s.o. (repeatedly or in a number of ways),,,,,,,,,,
,a,awang,n,*cloud,,,pangarang ; mega,,nat phen,baawang,,,,
,a,awang,vi,*cloudy,,,,,,baawang-awang,,,,
,a,awang,vi,*obscured; *hazy; clouded (of vision),,,,,,,,,,
,a,awangg,n,a Bacan-speaking hamlet near Labuha,,,,,place name,,,,,
,a,awarong,n,*current,,,,,nat phen,baawarong,,,,
,a,awarong,vi,to be characterized by a strong current ; *choppy; *rough and *turbulent (of the sea),tapi sakarang tala baawarong| But now there's quite a strong current.,,,,,,,,,
,a,awas,vi,to be *wary or *careful,sedang itu pun kita musi awas | Even in those circumstances; we must be watchful.,,,,,,,,,
,a,awat,n,a man's *name,,,,,personal name,,,,,
,a,awatar,n,k.o. *insect; the sago *grub; a k.o. *beetle *larvae; fam. *Cerambycidae; genus,,,,,insect,,,,,
,a,awir,n,k.o. *bird; *hawk; fam. *Accipitridae,,,,,bird,,,,,
,b,ba-,af,,,verbal affix marking intransitive or reciprocal states or activities,,,,,,,,
,b,ba: ruma,n,the *space below a house or bed ; a *crawl-space,dek ba: rumana |the meter-high crawl-space between a boat's deck and its hold,,ruma ; bawa,,,,,,,
,b,babago,n,*ember|s; burning *coal ; *charcoal,,,,,,,,,,
,b,babakul,n,k.o. closed *container made of tightly plaited pandanus leaves,,,,,utensil,,,,,
,b,babakumasak,,,,,masak,,,,,,,
,b,babalaona,vi,to *stay~up late *talk|ing ; to stay awake all night,,,kayu babalaona,,,,,,,
,b,babaleang,n,a low eating *platform,,,bale,,house,,,,,
,b,babalomba,,,,,lomba,,,,,,,
,b,babanter,vi,*bruise|d,,,,,health,,,,,
,b,babang,n,a *village,,,,,place name,,,,,
,b,babara,vi,*angry,,,,Slang,,,,,,
,b,babarsalahang,vi,*diverse; *multiple (kinds) ; *different,,,,,,,,,,
,b,babat,n,a round *container for sago-meal; made by binding sago leaves together,,,,,utensil ; sago,,,,,
,b,babat,v,to repair s.t. (e.g. a pole) by *bind|ing the bent part with twine or lashing,,,,,,babati,,,,
,b,babat,v,to bind s.t. for s.o.,,,,,,babat akang,,,,
,b,babat,v,to bind s.t. at s.o.'s request,,,,,,bababat,,,,
,b,babat,vi,to engage in such binding activity,,,,,,,,,,
,b,babau,vI,to be *odorous; to exude a *smell,,,panambau,,,,,,,
,b,babentol,vi,to have *contusion|s or *bump|s because of blows to the body,,,,,,,,,,
,b,baberesi:,,,,,beresi:,,,,,,,
,b,babide,n,a holy *shrine; a sacred *grave,,,,,spiritual,,,,,
,b,babiliang,vi,to make *purchase|s; to *shop <*buy>,,,tuka,,,,,,,
,b,babuongi,,,,,buong,,,,,,,
,b,baburung,vi,to be engaged in untying (difficult) knots,,,,,,pababurungi,,,,
,b,baburung,v,to untie a complicated knot for s.o.,,,,,,,,,,
,b,babl,vi,*stupid,,,,,,,,,,
,b,babng,v,to *cut (with a long machete or sword),,,bayaka,,,,,,,
,b,babs,n,*mallet,,,bas$3,,tool,,,,,
,b,baca,v,to *read s.t. ; to *recite s.t. (from the Quran) ; to *utter the Islamic confession of faith,cece jual puang tabaca doa salamat puang| Don't sell straight away; first of all; recite a,,,,spiritual ; spiritual,bacai,baca sahadat,,,
,b,baca,v,to read s.t. for s.o.,,,,,,baca akang,,,,
,b,baca,v,to read s.t. at s.o.'s request,,,,,,babaca,,,,
,b,baca,vi,to be engaged in *read|ing ; to be engaged in reciting the Quran ; to hold a ritual meal and recite the Quran to *commemorate a dead person ; to hold a *ritual *meal of thanksgiving ; to *recite *pray|ers ; to hold a *ritual of thanksgiving at which the Quran is recited,,,,,spiritual ; spiritual,pambaca:ng,babaca arwaha ; babaca debe ; babaca doa ; babaca sukur,,,
,b,baca,n,o.'s place in a book,,,,,,,,,,
,b,baca:ng,n,the island of *Bacan and its autochthonous people,,,,,,babaca:ng,,,,
,b,baca:ng,vi,to *speak the language of Bacan,tala babaca:ng kasal| You speak Bacanese well.,,,,,,,,,
,b,bacang,n,k.o. *mango; [%*Mangifera~|sp.],,,wowo,,food,,,,,
,b,bacapa-capa,vi,to be *half-dry,,,,,,,,,,
,b,badada:ng,,,,,adang,,,,,,,
,b,badak,n,*rhinoceros; fam. *Rhinocerotidae,,,,,,,,,,
,b,badang,n,*body,umbuk doa supaya badangku sehat | Utter a prayer that my body be healthy.,,,,body,babadanga,,,,
,b,badang,vi,naked to the waist,,,,,,bada-badanga,,,,
,b,badang,vi,*naked to the waist; *bare-chested,,,,,,,,,,
,b,badapatang,,,,,dapat,,,,,,,
,b,badi-badi,n,k.o. *dagger,,,,,,,,,,
,b,badk,v,to *burp; to *belch,,,sodut,,,,,,,
,b,baestl,,,,,nggaeka baeste/l,,,,,,,
,b,baf,vi,to rattle (of seeds),wowo bijina ke baf| That mango makes a rattling noise,,kate-kate baf,,,,,,,
,b,bafukul turf,vi,to be unable to keep a secret; to *blather,,,,,,,,,,
,b,bagaji,,,,,gaji,,,,,,,
,b,bagarak,vi,to *shake; to *shiver,,,,,,,,,,
,b,bage,v,to *share out s.t.,,,,,,bage akang,,,,
,b,bage,v,to share out s.t. at s.o.'s request,,,,,,babage,,,,
,b,bage,vi,to engage in dividing up or sharing (profits; income; yield) <*divide>,,,,,,babageang,,,,
,b,bage,vi,to share with e.o.,,,,,,bageang,,,,
,b,bage,n,o.'s *share,,,,,,,,,,
,b,bagea,n,a crisp *cake of *sago and other ingredients baked in small molds ; k.o. crisp sago cake made with peanuts ; k.o. crisp sago cake made with kanari nuts ; k.o. crisp sago made with coconut ; k.o. crisp sago cake made with herbs ; onion and garlic,,,,,sago ; food,,bagea bonyci ; bagea kanari ; bagea nggaoti ; bagea rampa,,,
,b,bage-bage,n,the *muscle of the *back between the shoulder blades and the upper flank; the,,,,,,,,,,
,b,baginanao,n,*murderer; *wicked person ; *sobriquet for s.o. in disfavor; *rascal,,,,,,,,,,
,b,bagodu,vi,a part of the *wedding ritual in which the groom is not allowed to part the curtains of,,,,,,,,,,
,b,bagogara,,,,,bogogara,,,,,,,
,b,bagu,n,k.o. *tree bearing edible *fruit; [%*Gnetum~gnemon|],,,,,tree,,,,,
,b,baguang,vi,to *echo ; to *resonate deeply (of o.'s voice),,,,,,,,,,
,b,bagunap,pr,*what~was~happening; *doing~*what,ka sana rapat-rapat mena tanyai a bagunap ompu| Having approached very closely;,,ape/ ; banape/,,,,,,,
,b,baha-baha,n,*sago mixed with palm sugar and baked in molds,,,,,sago ; food,,,,,
,b,bahaljat,,,,,hal,,,,,,,
,b,bahal,n,"o.'s just *deserts; *retribution for an offense; *punishment for a 
 misdeed; *come-uppance",,,,,,,,,,
,b,bahalng,,,,,basala/ng,,,,,,,
,b,bahang,n,*material; *thing,,,,,,,,,,
,b,bahasa,n,*language ; *utterance; *statement,ini bahasa baca:ng tapata mitu tu | This was correct Bacan language; it was like that ; bolung pasti bahasa ini fitan | It's not certain whether this statement is calumny.,,,,,bahasai,,,,
,b,bahasa,v,to *talk to s.o.,bahasai ia nang basa baca:ng| Speak to her in the Bacan language.,,,,,bahasa akang,,,,
,b,bahasa,v,to talk to s.o. at s.o.'s request,,,,,,babahasa,,,,
,b,bahasa,vi,to exchange information; to engage in conversation <*converse>,pasi babahasa nang guru ke ieti mo | They talked with the Quranic teacher but they did,,basa,,,,,,,
,b,bahelahai,vi,to *refuse to do some chore; to *avoid a task,,,,,,,,,,
,b,bahng,,,,,basala/ng,,,,,,,
,b,bahl,vi,to *pout; to be *thin-skinned and easily offended,,,,,,,,,,
,b,bai,,,,,ari bai,,,,,,,
,b,baingkole,n,k.o. *bird with a melodious song,,,,,bird,,,,,
,b,bairungang,n,*strut of outrigger,,,,,boat,,,,,
,b,baising,vi,to be *respectful; to act politely because of s.o.'s status; age or rank,pasi baising de dede Jamal | they are respectful towards Sir Jamal,,,,,,,,,
,b,baiyaka,,,,,bayaka,,,,,,,
,b,baiyaka,,,,,bayaka,,,,,,,
,b,baja,v,to *revile,,,,,,bajai,,,,
,b,baja,v,to heap *insult|s on s.o.; to *revile s.o.,,,,,,babaja-baja,,,,
,b,baja,vi,to *revile with obscene language repeatedly,,,,,,babababaja:ng,,,,
,b,baja,vi,to revile e.o.,,,,,,,,,,
,b,bajape-jape,vi,*messy and *wet; *dirty,,,,,,,,,,
,b,bajiang,vi,to behave like a *bully; to *strike indiscriminately,,,,,,,,,,
,b,bakafefut,vi,badly *distorted; not true to form (e.g. a dented car) ; to be*irregular|ly shaped (e.g. of a *kidney-shaped durian; of a fruit forced to grow in,,,,,,,,,,
,b,bakai:,vi,to be *short-tempered; to be overly *sensitive,Ia bakai: de aku | She is being short-tempered with me,,,,,,,,,
,b,bakakidar,vi,*tough (as if uncooked) of the cooked flesh of certain fish,,,,,,,,,,
,b,bakal,part,*about~to,yang tadi bakal jadi baku itu | the one just mentioned that's about to become sago meal,,,apparently a loan from Indonesian,,,,I,,
,b,bakantalawat,vi,very *crowded; *excessive|ly many,,,,,,,,,,
,b,bakar$1,n,k.o. *breadfruit; [*%Artocarpus~altilis|],,,gomo ; amo,,food,,,,,
,b,bakar$2,n,a culinary technique; similar to *roast|ing or braising <*braise> with spices ; k.o. *recipe for fish with coconut cream ; k.o. spicy *recipe for fish,,,,,culinary ; culinary ; culinary,,bakar santang ; bakar rica,,,
,b,bakas,v,to *tie up s.t. in bundles,,,,,,,,,,
,b,bakas,num con,*bundle; a counter of collections of long objects,kumbar tolu bakas |three bundles of sago midribs,,,,,bakasi,,,,
,b,bakas,v,to tie s.t. (specific) for s.o. into a bundle,bakasi aku kumbar| Bundle up my sago petioles for me,,,,,bakasi akang,,,,
,b,bakas,v,to tie s.t. (specific) up at s.o.'s request,,,,,,babakas,,,,
,b,bakas,vi,to *fasten or bundle things as a task or job,,,,,,,,,,
,b,bakasang,n,k.o. *condiment of fermented; salted fish entrails ; k.o. *sauce of strained fermented fish,,,,,food,,,,,
,b,bakaya,vi,to *process *sago pith into meal <*work>,kam yogo bakaya de si ambulunga| At whose sago trees will you do the sago,,manyakul,,,bakaya akang,,,,
,b,bakaya,vi,to engage in processing a certain sago stand or palm,a kita tala balapetak yogo ka da: bakaya akang kani: | After we've worked on the,,,,sago,,,,,
,b,baki,n,low *table; *tray,,,,,,,,,,
,b,bako,,,,,bose bako,,,,,,,
,b,bakti,n,communal *work,bapaguna:ng bakti de masigit | perform communal work in the mosque,,,an Indonesian loanword,,,,,,
,b,baku,n,raw; processed sago *meal ; *sago *bread; baked or roasted in molds ; k.o. steamed *sweetmeat made of palm sugar and *sago flour ; k.o. bread made from grated *cassava ; *sago *bread; the upper part of which is not completely roasted because it was not completely or tightly covered during roasting ; k.o. *sago *bread baked with grated coconut ; k.o. gray-colored *sago bread ; k.o. *cake; soaked *sago *bread stuffed with fruit or spices and re-roasted or rebaked,,,,,sago ; food ; sago ; food ; sago ; food ; sago ; food ; sago ; food ; sago ; food,,baku garu ; baku kasbi ; baku mata nabukana ; baku nggaoti ; baku puti ; baku ruo,,,
,b,balaga,,,,,mata balaga,,,,,,,
,b,balak,n,*timber; *lumber,riana itu tu balaka mamakang sapa kubit itu | The (yard's) size there will require how,,ruma balak,,,,,,,
,b,balakamang,n,k.o. *plant; probably [*%Basilicum~|sp.],,,,,,,,,,
,b,balala:ng,,,,,ala,,,,,,,
,b,balama:ng,part,*eventually ; *soon; after a short while; *shortly,kofo ilau balama:ng rutak | A net at sea will eventually fall apart. ; Balama:ng kubobar. |Keep it up and I'll hit you.,,,,,,,,,
,b,balampo,v,to *go; esp. to *walk ; to use an outhouse; to *defecate; esp. on the shore or at a seaside outhouse ; to walk at high speed ; to *walk; to go on foot,kam balampo di mana dang | Where did all of you go then?,,,Euphemism,,,balampo de sawang ; balampo forsa ; balampo tiol,,,
,b,balanak,n,k.o. *fish; *mullet family; *Mugilidae; perhaps [%*Mugil~cephalus|] or ; k.o. *fish ; k.o. *fish; mullet family; *Mugilidae; perhaps [%*Liza~vaigiensis|],,,,,fish ; fish,,balanak aduping ; balanak dompol,,,
,b,balang,n,*grasshopper; *locust; order *Orthoptera ; k.o. *mantid; suborder *Mantodea ; k.o. *grasshopper; order *Orthoptera,,,boto-boto,,insect ; insect ; insect,,balang gunting ; balang nggaoti,,,
,b,balangma:ng,,,,,balama:ng,,,,,,,
,b,bala$1,v,to *split s.t. (esp. wood),,,,,,balai,,,,
,b,bala$1,v,to split s.t. for s.o.,,,,,,bal-balai,,,,
,b,bala$1,v,to split a great deal of wood,,,,,,bala akang,,,,
,b,bala$1,v,to *divide in half,,,,,,babala,,,,
,b,bala$1,vi,to *split wood as a task,babala kayu |split wood,,,,,pabalai,,,,
,b,bala$1,v,to bring a task of splitting to conclusion; to complete the splitting of s.t.,,,,,,nabala,,,,
,b,bala$1,vi,to be *broken (of plates),,,sabala,,,,,,,
,b,balanyja,n,the sum of *money given to o.'s fiance's parents <*brideprice> ; the money spent to supply o.'s daily food; kitchen *expense|s,,,siri pinang,,,,,,,
,b,bala$2,n,a member of the sultan's *retinue; a *servant or lower-ranking *officer in the palace ; *subject|s,,,,Arch.,,,,,,
,b,balapis,n,k.o. layer *cake,,,,,food,,,,,
,b,balas,v,to *pay up ; to pay for s.t. ; to answer s.t. ( a letter),Aku kubalas mulaku. |I paid my debt. ; musi tabalas de pasi harga itu | We must pay the price to them. ; sakarang ini kita tabatikang tabalas senso | Nowadays we say we'll pay for a chainsaw.,,,,,balasi,,,,
,b,balas,v,to *pay for s.o.,,,,,,balas akang,,,,
,b,balas,v,to *pay for s.t. or s.o.,pauli tabalas akang tukang mupabua mesel alengo| We'll be able to pay the mason for,,,,,bababalasang,,,,
,b,balas,vi,to *requite e.o.,bababalasang budi| repay e.o.'s kindness.,,,,,,,,,
,b,balatete,,,,,ngguming,,,,,,,
,b,balatu,n,k.o. *pit *trap lined with sharpened bamboo stakes,,,sungga,,,,,,,
,b,bale,n,*bed; sleeping *platform,,,dego-dego ; katidurang ; babaleang,,house,,,,,
,b,bale sumpa,n,k.o. *chameleon; [%*Calotes sp.|],,,,,animal,,,,,
,b,balentik,n,k.o. spear *trap,,,sungga,,,,,,,
,b,bali,,,,,nggaoti,,,,,,,
,b,balibalinggarang,vi,to be extremely *unstable (of a boat in the water); to *tip and *tilt excessively,,,linggang,,,,,,,
,b,balik$1,,,,,,,,baliki,,,,
,b,balik$1,v,to turn s.t. over for s.o.,baliki lao itu capt mo logas | Flip over that fish fast; it's about to burn,,,,,balik akang,,,,
,b,balik$1,v,to *turn s.t. over,,,,,,babalik,,,,
,b,balik$1,vi,to *go back ; to *resume some earlier activity or state ; to be *inverted or turned over,babalik ka mai | Return here ; bangaji babalik| Resume Quran reciting ; babalik tu babicara alengo parkara lampa:ng | Resuming the earlier discussion regarding ; lecak imbawana imbawa jadi ianta; babalik | The soil below; what's below becomes,,,,,,,,,
,b,balik$1,part,*again; once more,,,,,,nabalik,,,,
,b,balik$1,vi,to be accidentally *twist|ed,,,,,,,,,,
,b,balik$2,vi,to have *come~of~age (of women); to experience o.'s first menstrual period,,,hajat,,,,,,,
,b,balimbing,,,,,malimbing,,,,,,,
,b,balisa,vi,to be *nervous and *hyperactive; to *fidget,,,,,,,,,,
,b,balo,n,*widower,,,janda,,,,,,,
,b,balotu,,,,,lotu,,,,,,,
,b,balu,,,,,batu balu,,,,,,,
,b,balukus,n,k.o. *fish; the *Flathead; *Platycephalidae fam. ; k.o. *fish; [%*Platycephalus~fuscus|] ; k.o. *fish ; k.o. *fish; [%*Platycephalus~indicus|] ; k.o. *fish ; k.o. *fish; the *Grinner; [%*Trachinocephalus~myops|],,,,,fish ; fish ; fish ; fish ; fish ; fish,,balukus batang ; balukus dolong ; balukus duong ; balukus cacebar ; balukus karang,,,
,b,balung,v,to *coil; to *roll~up (twine; etc.),,,,,,balungi,,,,
,b,balung,v,to roll s.t. up for s.o,,,,,,balung akang,,,,
,b,balung,v,to *coil (a rope; etc.) at s.o.'s request ; to *consume s.t. (food),,,,Whimsical,,babalung,,,,
,b,balung,vi,to engage in winding up twine or rope,,,,,,balung-balung,,,,
,b,balung,n,*spool,,,,,,,,,,
,b,bal,,,,,bahala/,,,,,,,
,b,balng,,,,,basala/ng,,,,,,,
,b,balng,,,,,long,,,,,,,
,b,bamay,vi,to go *hunt|ing (with dogs),,,yoyo/,,,,,,,
,b,bambant,n,k.o. fish; the *saddle-tailed~*sea~*perch; [%*Lutjanus~sanguineus|],,,,,fish,,,,,
,b,bambang,v,to *heat s.t. already cooked; to *warm s.t. up,,,,,culinary,bambangi,,,,
,b,bambang,v,to *heat s.t. for s.o.,,,,,,,,,,
,b,bamomba,vi,to *peer from a hiding place ; to *flee and seek refuge in a *conceal|ed place,,,,,,,,,,
,b,bamomba,n,a *gazebo; a resting place,,,,casual,,,,,,
,b,bampe,n,*guard *post; *sentinel; inspection post (during the Japanese occupation),,,,Archaic,,,,,,
,b,banana,vi,*wet,,,,,,banana-nana,,,,
,b,banana,vi,quite wet,,,,,,banana akang,,,,
,b,banana,v,to *wet s.t.; to make s.t. wet,,,,,,,,,,
,b,banap,pr,*what~event; *what~situation,banap inycana itu dang tu | What was happening there then?,,bagunape/,,,,,,,
,b,bandang,,,,,lao bandang,,,,,,,
,b,bandera,n,*flag; *pennant,,,,,,,,,,
,b,banding,v,to *compare to; to be *comparable~with,Karang bido tala itu ma banding semn. | As for staghorn coral; it is comparable to,,pasaruma akang,,,,,,,
,b,baner,n,*buttress~*root,,,,,plant,,,,,
,b,banta,v,to *contradict s.t.; to *complain about s.t.,Cece mubanta bicaraku. |Don't contradict what I said.,,,,,bantai,,,,
,b,banta,v,to *complain to s.o. or about s.o.,Kusu: ia sigodo ma bantai bosina ia. |I told him to complain about his boss.,,,,,babanta:ng,,,,
,b,banta,vi,to *contradict e.o.,,,,,,,,,,
,b,bantalang,n,*roller for beached boats,,,raroang,,,,,,,
,b,bantu,v,to help s.o. or s.t.,,,,,,bantu akang,,,,
,b,bantu,v,to help s.o. or s.t. at s.o.'s request,tabantu akang kamponta| Let us help our village,,tulung,,,,,,,
,b,bantunang,n,black *sea~cucumber; [%*Stichopus~chloronotus|],,,,,sea creature,,,,,
,b,bantung,v,to *yank s.t. out,,,,,,bantungi,,,,
,b,bantung,vi,to yank s.t. out for s.o.,,,,,,bantung akang,,,,
,b,bantung,v,to yank out s.t. at s.o.'s request,,,,,,babantung,,,,
,b,bantung,vi,to engage in yanking out (e.g. weeding a garden),babantung jengkut| Work at plucking out o.'s facial hair,,,,,,,,,
,b,bantng,vi,to have a *relapse; to fall *ill (because o. is not fully recovered),,,,,health,,,,,
,b,banr,vi,*true,,,,,,,,,,
,b,banr,part,*That's~correct,,,,,,,,,,
,b,bang,n,the muzzein's *call to prayer,,,,,,,,,,
,b,bangaji,vi,to *study and *recite the Quran,guru tala batikang palu tolu musi kapo bangaji | The Quranic instructor said that at three,,mangaji ; pangaji akang,,,,,,,
,b,banggala,,,,,kambing banggala,,,,,,,
,b,bangkak,vi,*swollen,,,,,,,,,,
,b,bangkalang,,,,,tabangkalang,,,,,,,
,b,bangke,n,animal *carcass ; *corpse,,,maye/t,,,,,,,
,b,bangkita,n,k.o. *mangrove *tree; [%*Bruguiera~conjugata|] ; k.o. *mangrove,,,,,tree ; tree,,bangkita papua,,,
,b,bangkit$1,vi,to assume an *erect position; to *get~up,,,,,,babangkit$1,,,,
,b,bangkit$1,vi,to *arise (and leave one's sleeping place),,,bangung,,,,,,,
,b,bangkit$2,,,,,,,,bangkit-bangkit,,,,
,b,bangkit$2,n,a wooden *tool for wiping empty sago molds ; *hotpads; *potholders,,,,,sago ; tool,babangkit$2,,,,
,b,bangkit$2,n,wooden *struts to lift the sago mold out of the fire ; a piece of *cloth used as a *potholder when moving a hot sago mold,,,,,sago ; utensil,,babangkita ndango,,,
,b,bangku,n,*bench,,,nyjong bangku,,,,,,,
,b,bangkuang,n,k.o. *root crop; *jicama or *yam~bean; [%*Pachyrrhizus~erosus|],,,,,plant,,,,,
,b,bangkurung,n,*back ; *behind; *posterior area,ruma bangkurunga |behind the house; at the rear of the house,,,,,bangkurungi,,,,
,b,bangkurung,v,to *turn o.'s back on s.o.,,,,,,babangkurung,,,,
