no,headword,PoS,definition,example,translation,example.1,translation.1,example.2,translation.2,example.3,translation.3,example.4,translation.4,example.5,translation.5,scientific name,gram category,social context,semantic field,loanword,crm,af,id,Unnamed: 24,Unnamed: 25
1384,giwang,noun,ear-studs,,,,,,,,,,,,,,,,,,nganting-nganting,,,,FALSE
1385,glas,noun,drinking glass,,,,,,,,,,,,,,,,utensil,,,,,,FALSE
1386,godios,noun,kind of medicinal rhizome similar to ginger,,,,,,,,,,,,,Alpinia malaccensis,,,plant,,,,,,FALSE
1387,gofosonyinga,noun,"kind of plant, possibly the floss-flower",,,,,,,,,,,,,Ageratum conyzoides,,,plant,,,,,,FALSE
1388,gogodo,noun,kind of fritter made with bits of banana in a flour batter,,,,,,,,,,,,,,,,food,,,,,,FALSE
1389,gogolobo,noun,"kind of fish, a halfbeak, similar to the three-by-two garfish",,,,,,,,,,,,,Hemiramphus robustus,,,fish,,,,,,FALSE
1390,gogololo,noun,"bolster, Dutch wife <pillow>",,,,,,,,,,,,,,,,,,,,,,FALSE
1391,goha,noun,cave,,,,,,,,,,,,,,,,geography,,,,,,FALSE
1392,gole,,,,,,,,,,,,,,,,,,,,wowo,,,,FALSE
1393,golumpung₁,ideophone,"sound of an explosion, boom",tala tadanga golumpung,We heard explosions.,,,,,,,,,,,,,,,,,bagolumpung,,,FALSE
1394,golumpung₂,intransitive verb,"to make an exploding sound, to melt and collapse (due to extreme heat)",itu tatagang bagolumpung,That is the coral melting (in the heat of the fire).,,,,,,,,,,,,,,,,,,,,FALSE
1395,golumpíng,noun,cassava flour,,,,,,,,,,,,,,,,food,,,,,,FALSE
1396,gomo,noun,"kind of breadnut, useful for its edible seeds",,,,,,,,,,,,,Artocarpus altilis <breadfruit>,,,plant,,bakar,,,,FALSE
1397,gomutu paha₁,,,,,,,,,,,,,,,,,,,Malay,,,,,FALSE
1398,gomutu paha₂,noun,kind of twine from arenga palm fiber,,,,,,,,,,,,,,,,,,kao/ng,,,,FALSE
1399,goni,noun,"burlap, jute cloth",,,,,,,,,,,,,,,,,,,,,,FALSE
1400,gong,noun,gong,,,,,,,,,,,,,,,,,,,,,,FALSE
1401,gora,,,,,,,,,,,,,,,,,,,,"duriang gora, lao gora",,,,FALSE
1403,goriadi,noun,"kind of tree bearing edible fruit, the Malay apple",,,,,,,,,,,,,Eugenia malaccensis,,,plant,,,,,,FALSE
1404,goring,,,,,,,,,,,,,,,,,,,,pisang goreng,,,,FALSE
1405,goro₁,noun,strips of rubber,,,,,,,,,,,,,,,,,,,,goro gala/ng \df rubber band \df elastic (sewn into clothes),,FALSE
1406,goro₂,,,,,,,,,,,,,,,,,,,,,bagoro,,,FALSE
1407,goro₃,intransitive verb,"to be slimy, to exude a sticky substance (of certain kind of coral)",,,,,,,,,,,,,,,,,,,,,,FALSE
1408,gosale,noun,kind of tree,,,,,,,,,,,,,,,,plant,,,,,,FALSE
1409,gosehe,noun,kind of tree,,,,,,,,,,,,,,,,plant,,,,,,FALSE
1410,goso₁,,,,,,,,,,,,,,,,,,,Malay,,,,,FALSE
1411,goso₂,transitive verb,"to rub, esp. with a tool",,,,,,,,,,,,,,,,,,rondas,,,,FALSE
1412,goyaba,noun,"kind of tree, the guava",,,,,,,,,,,,,Psidium guajava,,,plant,,,,,,FALSE
1413,granát,noun,grenade,,,,,,,,,,,,,,,,,,,,,,FALSE
1414,gudanga,noun,"kind of vegetable dish, featuring dry coconut flakes and boiled vegetables and herbs",,,,,,,,,,,,,,,,,,,,,,FALSE
1415,guer₁,transitive verb,to remove something (one's shirt or trousers) <undress>,,,,,,,,,,,,,,,,,,,gueri,,,FALSE
1416,guer₂,verb,to take off something (someone's article of clothing),,,,,,,,,,,,,,,,,,,guer akang,,,FALSE
1417,guer₃,transitive verb,to take off someone's shirt (etc.) at another's request,,,,,,,,,,,,,,,,,,,baguerang,,,FALSE
1418,guer₄,intransitive verb,to undress someone,,,,,,,,,,,,,,,,,,,baguer-guerang,,,FALSE
1419,guer₅,intransitive verb,to assist someone in undressing (of large numbers),,,,,,,,,,,,,,,,,,sasa guer,,,,FALSE
1420,gugí,,,,,,,,,,,,,,,,,,,,jou,,,,FALSE
1421,gula,noun,sugar,,,,,,,,,,,,,,,,food,,,,gula sela \df palm sugar \sf  food,,FALSE
1422,gule-gule,noun,porridge (of plain rice and water),,,,,,,,,,,,,,,,,,,,gule-gule amporing \df split pea porridge \sf  food,,FALSE
1423,gumi,noun,"earth, world",,,,,,,,,,,,,,,,,,tola gumi,,,,FALSE
1424,guna₁,noun,"use, purpose",itu guna apé kau muasapi buáng itu,What is the purpose of your smoking those,,,,,,,,,,,,,,,,,baguna,,,FALSE
1425,guna₂,intransitive verb,"to make, do or build",Baguna ape:?,What are you doing?,jadi kamí basaláng maksut yogo baguna ruma itu majanga pabua kalero,"So you, if your intention is to build a house, then it's a good idea to construct a banked fire (to produce calcium oxide).",,,,,,,,,,,,,,,paguna:ng,,,FALSE
1426,guna₃,noun,"job, profession",tampa paguna:ng,place of work,,,,,,,,,,,,,,,,,bapaguna:ng,,,FALSE
1427,guna₄,intransitive verb,to work,Aku bapaguna:ng bakaya indaya.,I'm working processing sago pith over there.,,,,,,,,,,,,,,,,,,,,FALSE
1428,guna-guna,noun,"magical spells, esp. those used to obtain sexual advantage, love charms",tala imakang guna-gunana ia,He has been affected (has internalized) by her spells (and,,,,,,,,,,,,,,,Malay,doti,,,,FALSE
1429,gunting₁,noun,scissors,,,,,,,,,,,,,,,,tool,,balang gunting,,,,FALSE
1430,gunting₂,verb,to cut something with scissors,,,,,,,,,,,,,,,,,,,guntingi,,,FALSE
1431,gunting₃,verb,to cut something for someone with a scissors,guntingi buoku hadiki,Please cut my hair,,,,,,,,,,,,,,,,,guntingi akang,,,FALSE
1432,gunting₄,verb,to cut something with a scissors at someone's request,guntingi akang adiku buoka,Cut my little sister's hair.,,,,,,,,,,,,,,,,,bagunting,,,FALSE
1433,gunting₅,intransitive verb,"to have had a haricut, to regularly give haircuts, to barber",,,,,,,,,,,,,,,,,,,,,,FALSE
1434,guntur,noun,thunder,,,,,,,,,,,,,,,,natural phenomenon,,,,"guntu gigina \df kind of dark black stone, associated with thunder \af  baguntur \ps  vi \df to thunder",,FALSE
1435,gurak₁,transitive verb,to awaken someone by calling and touching,,,,,,,,,,,,,,,,,,,guraki,,,FALSE
1436,gurak₂,verb,to awaken someone for s.o,,,,,,,,,,,,,,,,,,,bagurakang,,,FALSE
1437,gurak₃,intransitive verb,to engage in awakening others,,,,,,,,,,,,,,,,,,,bagubagurakang,,,FALSE
1438,gurak₄,intransitive verb,"to awaken someone, esp. of large numbers of people, usually in consecutive order","nampisiang ni kapala puasa, bagubagurakang",Tomorrow is the first day of the fasting,,,,,,,,,,,,,,,,gaguwar,,,,FALSE
1439,guru₁,noun,"teacher, Quranic instructor",,,,,,,,,,,,,,,,,,"engku, ompu guru",baguru,,,FALSE
1440,guru₂,intransitive verb,"to have a teacher, to study with a teacher",ia baguru de aku basilap,He is learning from me [how] to perform martial arts.,,,,,,,,,,,,,,,,,,,,FALSE
1441,gurui,intransitive verb,"fertile, esp. of plants",,,,,,,,,,,,,,,,,,,,,,FALSE
1442,ha:,exclamation,"hey, exclamation used to startle someone",,,,,,,,,,,,,,,,,,,,,,FALSE
1443,ha-,numeral,one,hapanggal,a chunk,,,,,,,,,,,,,,,,sa-,,,,FALSE
1444,habua₁,numeral,one,mena japang pabua surat habua sopang de ini ka bawa,Then the Japanese put together,habua sabayá,How much for one?,,,,,,,,,,,,,,,,,,FALSE
1445,habua₂,pronoun,something,"kutanyai, kau habua puang",I'll ask you something first.,,,,,,,,,,,,,,,,sabua,,,,FALSE
1446,habár₁,noun,"news, information",kudanga habár kamí yogo pabua ruma e,I heard the news that you are planning to,,,,,,,,,,,,,,,,,habár akang,,,FALSE
1447,habár₂,verb,"to spread information, to pass on news",,,,,,,,,,,,,,,,,,,bahabár,,,FALSE
1448,habár₃,intransitive verb,to engage in passing on information,,,,,,,,,,,,,,,,,,,,,,FALSE
1449,hadiki₁,pronoun,"a little, some",itu muli barenti ka mai aku mamakang hadiki,"So it was that after I'd returned, I came",,,,,,,,,,,,,,,,sadiki,,,,FALSE
1450,hadiki₂,particle,"please, a particle to soften a command or query, okay?, if I may",rangkut akang kayu tibasa ka mai hadiki,"Bring over some firewood, would you?",aku yogo kutanyai kau habua hadiki,"I'd like to ask you something, if I may.",,,,,,,,,,,,,,,,"hadiki dang \df a little more \df in a short period of time (but not immediately), soon",,FALSE
1451,haga₁,intransitive verb,to stare vacantly at something,,,,,,,,,,,,,,,,,,iyu haga,bahaga-haga,,,FALSE
1452,haga₂,intransitive verb,"to stare aimlessly for a long time, to be in a daze, to daydream",,,,,,,,,,,,,,,,,,,pahaga-haga,,,FALSE
1453,haga₃,verb,"to make a fool of someone, to trick someone",,,,,,,,,,,,,,,,,,,,,,FALSE
1454,hagaki,,,,,,,,,,,,,,,,,,,,gaki,,,,FALSE
1455,haiku₁,pronoun,"a certain person, a certain party, someone (perhaps known but not specified or",a itu ka sana haiku ini mubei aku doit,"Oh about that, well I went there and a certain",,,,,,,,,,,,an unspecified human referent,,,,,,,,FALSE
1456,haiku₂,particle,some (person),guru haiku,"some teacher, a certain teacher",,,,,,,,,,,,,,,,iku,,,,FALSE
1457,hairáng,intransitive verb,to be surprised,Kuhairáng kau ini iskola ke tala mone,I'm surprised. You're not even in school any,,,,,,,,,,,,,,,,,,,,FALSE
1458,haiwán,noun,"any animate, nonhuman creature, i.e., animal, bird, insect, etc.",,,,,,,,,,,,,,,,,,,,"haiwan painggap \df any flying creature, incl. birds, bats, insects.",,FALSE
1459,hajat,noun,"menses, one's menstrual period",dapa hajat,have one's period,,,,,,,,,,,,,,,,balik,,,,FALSE
1460,haji,noun,one who has made the hajj,,,,,,,,,,,,,,,,spiritual,,"udang haji, hariraya haji",,,,FALSE
1461,hakali,particle,once,,,,,,,,,,,,,,,,,,kali,,,,FALSE
1462,hakau,,,,,,,,,,,,,,,,,,,,kayu,,,,FALSE
1463,hakim,noun,judge,,,,,,,,,,,,,,,,,,,,"hakim sara \df Islamic judge, esp. as one officiating at weddings",,FALSE
1464,hakubit,pronoun,a little,,,,,,,,,,,,,,,,,,kubit,,,,FALSE
1465,hakuntil,pronoun,a little,,,,,,,,,,,,,,,,,,,,,,FALSE
1466,hal,noun,"issue, legal case",halingku,my affairs,,,,,,,,,,,,,,,,,,"halina urang \df someone else's business or affairs, hal jat \df a misdeed, a reprehensible situation \af  bahal jat \ps  vi \df to fornicate, to engage in sexual union outside of marriage",,FALSE
1467,halaga:ng,noun,scraped coconut,,,,,,,,,,,,,,,,,,,,,,FALSE
1468,halam,,,,,,,,,,,,,,,,,,,,alam,,,,FALSE
1470,halang,verb,to obstruct or block someone or something,,,,,,,,,,,,,,,,,,alangang,,,,FALSE
1471,halangang,,,,,,,,,,,,,,,,,,,,alangang,,,,FALSE
1472,halál₁,intransitive verb,allowed by Islamic law,,,,,,,,,,,,,,,,,,,,,,FALSE
1473,halál₂,noun,"clearance, forgiveness from someone we have stolen from",,,,,,,,,,,,,,,,,,"hara/m, makru, umbuk hala/l",,,,FALSE
1474,halál bin halál,noun,an Islamic gathering during which participants can formally forgive each other's,,,,,,,,,,,,,,,,,,,,,,FALSE
